rev, All, STARTS, Ekstazi, HyRTS, Clover
rev_1, 46, 46, 46, 46, 46
rev_2, 46, 1, 0, 0, 0
rev_3, 46, 0, 0, 0, 0
rev_4, 46, 2, 3, 0, 2
rev_5, 46, 6, 4, 1, 1
rev_6, 46, 8, 7, 1, 3
rev_7, 46, 2, 3, 0, 2
rev_8, 46, 4, 2, 2, 2
rev_9, 46, 0, 0, 0, 0
rev_10, 46, 6, 4, 1, 1
rev_11, 46, 2, 1, 2, 1
rev_12, 46, 0, 0, 0, 0
rev_13, 46, 5, 2, 0, 0
rev_14, 46, 3, 3, 0, 0
rev_15, 46, 1, 1, 0, 1
rev_16, 46, 5, 0, 0, 0
rev_17, 46, 0, 2, 0, 0
rev_18, 46, 1, 0, 0, 0
rev_19, 46, 0, 0, 0, 0
rev_20, 46, 3, 0, 0, 0
rev_21, 46, 12, 5, 1, 2
rev_22, 46, 0, 0, 0, 0
rev_23, 46, 0, 0, 0, 0
rev_24, 46, 0, 0, 0, 0
rev_25, 46, 5, 2, 0, 0
rev_26, 46, 13, 5, 1, 2
rev_27, 46, 12, 5, 1, 2
rev_28, 46, 7, 6, 2, 7
rev_29, 46, , , , 
rev_30, 46, 1, 0, 0, 0
rev_31, 46, 1, 0, 0, 0
rev_32, 46, 1, 0, 0, 0
rev_33, 46, 0, 0, 0, 0
rev_34, 46, 0, 0, 0, 0
rev_35, 46, 0, 0, 0, 0
rev_36, 46, 0, 0, 0, 0
rev_37, 46, 0, 0, 0, 0
rev_38, 46, 0, 0, 0, 0
rev_39, 46, 0, 0, 0, 0
rev_40, 46, 0, 0, 0, 0
rev_41, 46, 0, 0, 0, 0
rev_42, 46, 0, 0, 0, 0
rev_43, 46, 0, 0, 0, 0
rev_44, 46, 0, 0, 0, 0
rev_45, 46, 0, 0, 0, 0
rev_46, 46, 0, 0, 0, 0
rev_47, 46, 0, 0, 0, 0
rev_48, 46, 0, 0, 0, 0
rev_49, 46, 0, 0, 0, 0
rev_50, 46, 0, 0, 0, 0
