rev, All, STARTS, Ekstazi, HyRTS, Clover
rev_1, 26, 26, 26, 26, 
rev_2, 26, 0, 0, 0, 
rev_3, 26, 0, 0, 0, 
rev_4, 26, 0, 0, 0, 
rev_5, 26, 0, 0, 0, 
rev_6, 26, 0, 0, 0, 
rev_7, 26, 0, 0, 0, 26
rev_8, 26, 0, 0, 0, 0
rev_9, 26, 0, 0, 0, 0
rev_10, 26, 0, 0, 0, 0
rev_11, 26, 20, 20, 18, 20
rev_12, 26, 0, 0, 0, 0
rev_13, 26, 0, 0, 0, 19
rev_14, 26, 0, 0, 0, 0
rev_15, , , , , 
rev_16, , , , , 
rev_17, , , , , 
rev_18, , , , , 
rev_19, , , , , 
rev_20, 26, 1, 1, 1, 2
rev_21, 26, 19, 5, 5, 8
rev_22, 26, 0, 0, 0, 1
rev_23, 26, 0, 0, 0, 25
rev_24, 26, 4, 4, 4, 26
rev_25, 26, 0, 0, 0, 26
rev_26, 26, 1, 1, 1, 2
rev_27, 26, 0, 0, 0, 1
rev_28, 26, 0, 0, 0, 1
rev_29, 26, 0, 0, 0, 1
rev_30, 26, 0, 0, 0, 1
rev_31, 26, 0, 0, 0, 1
rev_32, 26, 0, 0, 0, 1
rev_33, 26, 0, 0, 0, 1
rev_34, 26, 19, 2, 2, 2
rev_35, 26, 1, 1, 1, 1
rev_36, 26, 0, 0, 0, 2
rev_37, 26, 1, 1, 1, 1
rev_38, 26, 0, 0, 0, 0
rev_39, 26, 0, 0, 0, 0
rev_40, 27, 20, 3, 3, 3
rev_41, 26, , , , 
rev_42, 27, 0, 0, 0, 27
rev_43, 27, 0, 0, 0, 1
rev_44, 27, 0, 0, 0, 1
rev_45, 27, 7, 4, 4, 8
rev_46, 28, 1, 1, 1, 2
rev_47, 28, 1, 1, 1, 2
rev_48, 27, , , , 
rev_49, 27, , , , 
rev_50, 28, 0, 0, 0, 1
