rev, All, STARTS, Ekstazi, HyRTS, Clover
rev_1, 171, 171, 171, 171, 171
rev_2, 171, 0, 0, 0, 0
rev_3, 171, 1, 1, 1, 130
rev_4, 171, 1, 1, 1, 130
rev_5, 171, 0, 0, 0, 130
rev_6, 171, 1, 1, 1, 130
rev_7, 171, 0, 0, 0, 0
rev_8, 171, 1, 1, 1, 130
rev_9, 171, 0, 0, 0, 0
rev_10, 171, 1, 1, 1, 130
rev_11, 171, 0, 0, 0, 0
rev_12, 171, 4, 4, 4, 130
rev_13, 171, 0, 0, 0, 0
rev_14, 171, 1, 1, 1, 130
rev_15, 171, 0, 0, 0, 0
rev_16, 171, 4, 4, 0, 130
rev_17, 171, 0, 0, 0, 0
rev_18, 171, 4, 4, 4, 130
rev_19, 171, 0, 0, 0, 0
rev_20, 171, 1, 1, 1, 130
rev_21, 171, 1, 1, 1, 130
rev_22, 171, 80, 53, 2, 137
rev_23, 171, 0, 0, 0, 0
rev_24, 171, 0, 0, 0, 0
rev_25, 171, 0, 0, 0, 0
rev_26, 171, 4, 4, 1, 130
rev_27, 171, 0, 0, 0, 0
rev_28, 171, 2, 2, 1, 131
rev_29, 171, 2, 2, 1, 131
rev_30, 171, 2, 2, 1, 131
rev_31, 171, 4, 4, 4, 130
rev_32, 171, 4, 4, 4, 130
rev_33, 171, 5, 5, 5, 130
rev_34, 171, 0, 0, 0, 0
rev_35, 171, 0, 0, 0, 0
rev_36, 171, 1, 1, 1, 130
rev_37, 171, 0, 0, 0, 0
rev_38, 171, 0, 0, 0, 130
rev_39, 171, 0, 0, 0, 130
rev_40, 171, 0, 0, 0, 130
rev_41, 171, 1, 1, 1, 130
rev_42, 171, 1, 1, 1, 130
rev_43, 171, 2, 2, 2, 131
rev_44, 171, 2, 2, 2, 131
rev_45, 171, 2, 2, 2, 131
rev_46, 171, 0, 0, 0, 136
rev_47, 171, 0, 0, 0, 1
rev_48, 171, 140, 138, 132, 161
rev_49, 171, 0, 0, 0, 168
rev_50, 171, 0, 0, 0, 136
