rev, All, STARTS, Ekstazi, HyRTS, Clover
rev_1,113,1,1,1,1
rev_2,113,0,0,0,4
rev_3,113,1,1,1,5
rev_4,113,0,0,0,5
rev_5,113,58,4,1,8
rev_6,113,60,20,20,24
rev_7,113,1,1,1,1
rev_8,113,59,50,16,49
rev_9,113,59,48,15,43
rev_10,113,0,0,0,4
rev_11,113,0,0,0,4
rev_12,113,60,3,3,7
rev_13,113,60,4,4,4
rev_14,113,60,49,5,21
rev_15,113,0,0,0,4
rev_16,113,0,0,0,45
rev_17,113,60,49,6,44
rev_18,113,1,1,1,5
rev_19,113,4,4,4,8
rev_20,113,90,70,60,68
rev_21,113,0,0,0,4
rev_22,113,0,0,0,4
rev_23,113,0,0,0,4
rev_24,113,0,0,0,88
rev_25,113,0,0,0,22
rev_26,113,0,0,0,5
rev_27,113,79,55,55,69
rev_28,113,0,0,0,6
rev_29,113,0,0,0,5
rev_30,113,0,0,0,4
rev_31,113,0,0,0,4
rev_32,113,60,2,2,6
rev_33,113,0,0,0,4
rev_34,113,0,0,0,4
rev_35,114,61,4,3,8
rev_36,114,0,0,0,4
rev_37,114,0,0,0,4
rev_38,114,0,0,0,4
rev_39,114,0,0,0,4
rev_40,114,0,0,0,4
rev_41,114,0,0,0,4
rev_42,114,0,0,0,4
rev_43,114,60,50,3,28
rev_44,114,0,0,0,4
rev_45,114,0,0,0,4
rev_46,114,0,0,0,4
rev_47,114,1,1,1,5
rev_48,114,114,114,114,4
rev_49,114,0,0,0,5
rev_50,114,2,2,2,6
