rev, All, STARTS, Ekstazi, HyRTS, Clover
rev_1, 42, 42, 42, 42, 42
rev_2, 42, 0, 0, 0, 0
rev_3, 42, 3, 3, 3, 3
rev_4, 42, 3, 3, 0, 3
rev_5, 42, 3, 3, 3, 3
rev_6, 42, 2, 2, 2, 2
rev_7, 42, 16, 16, 1, 16
rev_8, 42, 1, 1, 1, 1
rev_9, 42, 0, 0, 0, 0
rev_10, 42, 0, 0, 0, 3
rev_11, 42, 0, 0, 0, 0
rev_12, 42, 0, 0, 0, 0
rev_13, 42, 2, 2, 0, 2
rev_14, 42, 2, 2, 2, 2
rev_15, 42, 2, 2, 2, 2
rev_16, 42, 2, 2, 2, 2
rev_17, 42, 0, 0, 0, 0
rev_18, 42, 2, 2, 2, 2
rev_19, 42, 2, 2, 2, 2
rev_20, 42, 2, 2, 2, 2
rev_21, 42, 0, 0, 0, 0
rev_22, 42, 0, 0, 0, 0
rev_23, 42, 0, 0, 0, 0
rev_24, 42, 0, 0, 0, 0
rev_25, 42, 0, 0, 0, 0
rev_26, 42, 0, 0, 0, 20
rev_27, 42, 0, 0, 0, 6
rev_28, 42, 0, 0, 0, 0
rev_29, 42, 0, 0, 0, 0
rev_30, 42, 0, 0, 0, 0
rev_31, 42, 0, 0, 0, 2
rev_32, 42, 5, 2, 1, 9
rev_33, 42, 1, 1, 1, 1
rev_34, 42, 1, 1, 1, 1
rev_35, 42, 1, 1, 1, 1
rev_36, 42, 0, 0, 0, 1
rev_37, 42, 1, 1, 1, 1
rev_38, 42, 0, 0, 0, 0
rev_39, 42, 0, 0, 0, 1
rev_40, 42, 1, 1, 1, 1
rev_41, 42, 3, 0, 0, 3
rev_42, 42, 1, 1, 1, 1
rev_43, 42, 1, 1, 1, 1
rev_44, 42, 3, 3, 0, 3
rev_45, 42, 0, 0, 0, 1
rev_46, 42, 3, 0, 0, 3
rev_47, 42, 0, 0, 0, 3
rev_48, 42, 3, 3, 0, 3
rev_49, 42, 3, 3, 0, 3
rev_50, 42, 3, 0, 0, 3
