rev, All, STARTS, Ekstazi, HyRTS, Clover
rev_2, 0, 0, 0, 0, 0
rev_3, n/a, n/a, n/a, n/a, n/a
rev_4, 8, 8, 8, 0, 8
rev_5, 4, 4, 4, 0, 4
rev_6, 12, 12, 12, 0, 12
rev_7, 8, 8, 8, 0, 8
rev_8, 41, 41, 41, 0, 41
rev_9, n/a, n/a, n/a, n/a, n/a
rev_10, 4, 4, 4, 0, 4
rev_11, 87, 87, 87, 0, 87
rev_12, n/a, n/a, n/a, n/a, n/a
rev_13, 0, 0, 0, 0, 0
rev_14, 0, 0, 0, 0, 0
rev_15, 0, 0, 0, 0, 0
rev_16, n/a, n/a, n/a, n/a, n/a
rev_17, n/a, n/a, n/a, n/a, n/a
rev_18, 0, 0, 0, 0, 0
rev_19, n/a, n/a, n/a, n/a, n/a
rev_20, 0, 0, 0, 0, 0
rev_21, 5, 5, 5, 0, 5
rev_22, n/a, n/a, n/a, n/a, n/a
rev_23, n/a, n/a, n/a, n/a, n/a
rev_24, n/a, n/a, n/a, n/a, n/a
rev_25, 0, 0, 0, 0, 0
rev_26, 5, 5, 5, 0, 5
rev_27, 5, 5, 5, 0, 5
rev_28, 11, 11, 11, 0, 11
rev_29, n/a, n/a, n/a, n/a, n/a
rev_30, 0, 0, 0, 0, 0
rev_31, 0, 0, 0, 0, 0
rev_32, 0, 0, 0, 0, 0
rev_33, n/a, n/a, n/a, n/a, n/a
rev_34, n/a, n/a, n/a, n/a, n/a
rev_35, n/a, n/a, n/a, n/a, n/a
rev_36, n/a, n/a, n/a, n/a, n/a
rev_37, n/a, n/a, n/a, n/a, n/a
rev_38, n/a, n/a, n/a, n/a, n/a
rev_39, n/a, n/a, n/a, n/a, n/a
rev_40, n/a, n/a, n/a, n/a, n/a
rev_41, n/a, n/a, n/a, n/a, n/a
rev_42, n/a, n/a, n/a, n/a, n/a
rev_43, n/a, n/a, n/a, n/a, n/a
rev_44, n/a, n/a, n/a, n/a, n/a
rev_45, n/a, n/a, n/a, n/a, n/a
rev_46, n/a, n/a, n/a, n/a, n/a
rev_47, n/a, n/a, n/a, n/a, n/a
rev_48, n/a, n/a, n/a, n/a, n/a
rev_49, n/a, n/a, n/a, n/a, n/a
rev_50, n/a, n/a, n/a, n/a, n/a
