rev, All, STARTS, Ekstazi, HyRTS, Clover
rev_2, n/a, n/a, n/a, n/a, n/a
rev_3, 0, 0, 0, 0, 0
rev_4, 20, 20, 20, 0, 68
rev_5, 25, 25, 25, 101, 101
rev_6, 53, n/a, n/a, 0, n/a
rev_7, 62, 62, 62, 0, 186
rev_8, n/a, n/a, 20, 0, n/a
rev_9, n/a, n/a, n/a, n/a, n/a
rev_10, n/a, n/a, n/a, n/a, n/a
rev_11, n/a, n/a, n/a, n/a, n/a
rev_12, n/a, n/a, n/a, n/a, n/a
rev_13, 48, n/a, n/a, 0, n/a
rev_14, 10, n/a, 10, 0, n/a
rev_15, 50, n/a, 50, 0, n/a
rev_16, 49, n/a, n/a, 0, n/a
rev_17, n/a, n/a, n/a, n/a, n/a
rev_18, n/a, n/a, n/a, n/a, n/a
rev_19, 48, n/a, 191, 0, n/a
rev_20, n/a, n/a, n/a, n/a, n/a
rev_21, n/a, n/a, n/a, n/a, n/a
rev_22, n/a, n/a, n/a, n/a, n/a
rev_23, n/a, n/a, n/a, n/a, n/a
rev_24, n/a, n/a, n/a, n/a, n/a
rev_25, n/a, n/a, n/a, n/a, n/a
rev_26, n/a, n/a, n/a, n/a, n/a
rev_27, n/a, n/a, n/a, n/a, n/a
rev_28, n/a, n/a, n/a, n/a, n/a
rev_29, n/a, n/a, n/a, n/a, n/a
rev_30, n/a, n/a, n/a, n/a, n/a
rev_31, n/a, n/a, n/a, n/a, n/a
rev_32, 34, 109, 109, 0, 109
rev_33, n/a, n/a, n/a, n/a, n/a
rev_34, 58, 141, 141, 0, 141
rev_35, 58, 141, 141, 0, 141
rev_36, n/a, n/a, n/a, n/a, n/a
rev_37, 96, 257, 257, 0, 257
rev_38, n/a, n/a, n/a, n/a, n/a
rev_39, n/a, n/a, n/a, n/a, n/a
rev_40, 63, 155, 155, 155, 155
rev_41, 0, 0, 0, 0, 0
rev_42, 101, 101, 274, 0, 274
rev_43, 101, 273, 273, 0, 273
rev_44, 25, 101, 101, 0, 101
rev_45, n/a, n/a, n/a, n/a, n/a
rev_46, 0, 0, 0, 0, 0
rev_47, n/a, n/a, n/a, n/a, n/a
rev_48, 25, 101, 101, 0, 101
rev_49, 25, 101, 101, 0, 101
rev_50, 0, 0, 0, 0, 0
