rev, NumMutatns, All, STARTS, Ekstazi, HyRTS, Clover
rev_2, n/a, n/a, n/a, n/a, n/a, n/a
rev_3, n/a, n/a, n/a, n/a, n/a, n/a
rev_4, n/a, n/a, n/a, n/a, n/a, n/a
rev_5, n/a, n/a, n/a, n/a, n/a, n/a
rev_6, n/a, n/a, n/a, n/a, n/a, n/a
rev_7, n/a, n/a, n/a, n/a, n/a, n/a
rev_8, n/a, n/a, n/a, n/a, n/a, n/a
rev_9, n/a, n/a, n/a, n/a, n/a, n/a
rev_10, n/a, n/a, n/a, n/a, n/a, n/a
rev_11, 174, 94, 94, 98, 75, 98
rev_12, n/a, n/a, n/a, n/a, n/a, n/a
rev_13, n/a, n/a, n/a, n/a, n/a, n/a
rev_14, n/a, n/a, n/a, n/a, n/a, n/a
rev_15, n/a, n/a, n/a, n/a, n/a, n/a
rev_16, n/a, n/a, 0, 0, 0, 0
rev_17, n/a, n/a, n/a, n/a, n/a, n/a
rev_18, n/a, n/a, n/a, n/a, n/a, n/a
rev_19, n/a, n/a, n/a, n/a, n/a, n/a
rev_20, n/a, n/a, n/a, n/a, n/a, n/a
rev_21, 624, 87, 87, 93, 13, 93
rev_22, n/a, n/a, n/a, n/a, n/a, n/a
rev_23, n/a, n/a, n/a, n/a, n/a, n/a
rev_24, n/a, n/a, n/a, n/a, n/a, n/a
rev_25, n/a, n/a, n/a, n/a, n/a, n/a
rev_26, n/a, n/a, n/a, n/a, n/a, n/a
rev_27, n/a, n/a, n/a, n/a, n/a, n/a
rev_28, n/a, n/a, n/a, n/a, n/a, n/a
rev_29, n/a, n/a, n/a, n/a, n/a, n/a
rev_30, n/a, n/a, n/a, n/a, n/a, n/a
rev_31, n/a, n/a, n/a, n/a, n/a, n/a
rev_32, n/a, n/a, n/a, n/a, n/a, n/a
rev_33, n/a, n/a, n/a, n/a, n/a, n/a
rev_34, 100, 89, 89, 93, 93, 93
rev_35, n/a, n/a, n/a, n/a, n/a, n/a
rev_36, n/a, n/a, n/a, n/a, n/a, n/a
rev_37, n/a, n/a, n/a, n/a, n/a, n/a
rev_38, n/a, n/a, n/a, n/a, n/a, n/a
rev_39, n/a, n/a, n/a, n/a, n/a, n/a
rev_40, 100, 89, 89, 93, 0, 93
rev_41, n/a, n/a, n/a, n/a, n/a, n/a
rev_42, n/a, n/a, n/a, n/a, n/a, n/a
rev_43, n/a, n/a, n/a, n/a, n/a, n/a
rev_44, n/a, n/a, n/a, n/a, n/a, n/a
rev_45, 565, 84, 84, 92, 0, 92
rev_46, n/a, n/a, n/a, n/a, n/a, n/a
rev_47, n/a, n/a, n/a, n/a, n/a, n/a
rev_48, n/a, n/a, n/a, n/a, n/a, n/a
rev_49, n/a, n/a, n/a, n/a, n/a, n/a
rev_50, n/a, n/a, n/a, n/a, n/a, n/a
