rev, NumMutatns, All, STARTS, Ekstazi, HyRTS, Clover
rev_2, n/a, n/a, n/a, n/a, n/a, n/a
rev_3, 132, 0, 0, 0, 0, 0
rev_4, 416, 5, 5, 5, 0, 5
rev_5, 416, 6, 6, 6, 8, 8
rev_6, 95, 56, n/a, n/a, 0, n/a
rev_7, 74, 84, 84, 84, 0, 64
rev_8, n/a, n/a, n/a, 59, 0, n/a
rev_9, n/a, n/a, n/a, n/a, n/a, n/a
rev_10, n/a, n/a, n/a, n/a, n/a, n/a
rev_11, n/a, n/a, n/a, n/a, n/a, n/a
rev_12, n/a, n/a, n/a, n/a, n/a, n/a
rev_13, 95, 51, n/a, n/a, 0, n/a
rev_14, 17, 59, n/a, 59, 0, n/a
rev_15, 83, 60, n/a, 60, 0, n/a
rev_16, 87, 56, n/a, n/a, 0, n/a
rev_17, n/a, n/a, n/a, n/a, n/a, n/a
rev_18, n/a, n/a, n/a, n/a, n/a, n/a
rev_19, 87, 55, n/a, 63, 0, n/a
rev_20, n/a, n/a, n/a, n/a, n/a, n/a
rev_21, n/a, n/a, n/a, n/a, n/a, n/a
rev_22, n/a, n/a, n/a, n/a, n/a, n/a
rev_23, n/a, n/a, n/a, n/a, n/a, n/a
rev_24, n/a, n/a, n/a, n/a, n/a, n/a
rev_25, n/a, n/a, n/a, n/a, n/a, n/a
rev_26, n/a, n/a, n/a, n/a, n/a, n/a
rev_27, n/a, n/a, n/a, n/a, n/a, n/a
rev_28, n/a, n/a, n/a, n/a, n/a, n/a
rev_29, n/a, n/a, n/a, n/a, n/a, n/a
rev_30, n/a, n/a, n/a, n/a, n/a, n/a
rev_31, n/a, n/a, n/a, n/a, n/a, n/a
rev_32, 79, 43, 45, 45, 0, 45
rev_33, n/a, n/a, n/a, n/a, n/a, n/a
rev_34, 58, 100, 80, 80, 0, 80
rev_35, 58, 100, 80, 80, 0, 80
rev_36, n/a, n/a, n/a, n/a, n/a, n/a
rev_37, 107, 90, 73, 73, 0, 73
rev_38, n/a, n/a, n/a, n/a, n/a, n/a
rev_39, n/a, n/a, n/a, n/a, n/a, n/a
rev_40, 63, 100, 81, 81, 81, 81
rev_41, 16, 0, 0, 0, 0, 0
rev_42, 112, 90, 90, 74, 0, 74
rev_43, 112, 90, 77, 77, 0, 77
rev_44, 432, 6, 7, 7, 0, 7
rev_45, n/a, n/a, n/a, n/a, n/a, n/a
rev_46, 19, 0, 0, 0, 0, 0
rev_47, n/a, n/a, n/a, n/a, n/a, n/a
rev_48, 413, 6, 8, 8, 0, 8
rev_49, 432, 6, 7, 7, 0, 7
rev_50, 14, 0, 0, 0, 0, 0
