revision	Ekstazi_S	HyRTS_S	Clover_S	STARTS_E	HyRTS_E	Clover_E	STARTS_H	Ekstazi_H	Clover_H
1	0	0	0	0	0	0	0	0	0
2	100	100	100	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0
4	0	100	0	33.333	100	33.333	0	0	0
5	33.333	83.333	83.333	0	75	75	0	0	0
6	22.222	87.5	62.5	11.111	85.714	57.143	0	0	0
7	0	100	0	33.333	100	33.333	0	0	0
8	50	50	50	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0
10	33.333	83.333	83.333	0	75	75	0	0	0
11	50	33.333	50	0	0	0	33.333	50	50
12	0	0	0	0	0	0	0	0	0
13	71.429	100	100	28.571	100	100	0	0	0
14	0	100	100	0	100	100	0	0	0
15	0	100	0	0	100	0	0	0	0
16	100	100	100	0	0	0	0	0	0
17	0	0	0	100	100	100	0	0	0
18	100	100	100	0	0	0	0	0	0
19	0	0	0	0	0	0	0	0	0
20	100	100	100	0	0	0	0	0	0
21	61.538	91.667	83.333	7.692	80	60	0	0	0
22	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0
25	71.429	100	100	28.571	100	100	0	0	0
26	64.286	92.308	84.615	7.143	80	60	0	0	0
27	61.538	91.667	83.333	7.692	80	60	0	0	0
28	14.286	71.429	36.364	0	66.667	30	0	0	0
30	100	100	100	0	0	0	0	0	0
31	100	100	100	0	0	0	0	0	0
32	100	100	100	0	0	0	0	0	0
33	0	0	0	0	0	0	0	0	0
34	0	0	0	0	0	0	0	0	0
35	0	0	0	0	0	0	0	0	0
36	0	0	0	0	0	0	0	0	0
37	0	0	0	0	0	0	0	0	0
38	0	0	0	0	0	0	0	0	0
39	0	0	0	0	0	0	0	0	0
40	0	0	0	0	0	0	0	0	0
41	0	0	0	0	0	0	0	0	0
42	0	0	0	0	0	0	0	0	0
43	0	0	0	0	0	0	0	0	0
44	0	0	0	0	0	0	0	0	0
45	0	0	0	0	0	0	0	0	0
46	0	0	0	0	0	0	0	0	0
47	0	0	0	0	0	0	0	0	0
48	0	0	0	0	0	0	0	0	0
49	0	0	0	0	0	0	0	0	0
50	0	0	0	0	0	0	0	0	0
