revision	Ekstazi_S	HyRTS_S	Clover_S	STARTS_E	HyRTS_E	Clover_E	STARTS_H	Ekstazi_H	Clover_H
1	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0
5	93.103	98.276	86.207	0	75	0	0	0	0
6	66.667	66.667	60	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0
8	15.254	72.881	16.949	0	68	2	0	0	0
9	18.644	74.576	27.119	0	68.75	10.417	0	0	0
10	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0
12	95	95	88.333	0	0	0	0	0	0
13	93.333	93.333	93.333	0	0	0	0	0	0
14	18.333	91.667	65	0	89.796	57.143	0	0	0
15	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0
17	18.333	90	26.667	0	87.755	10.204	0	0	0
18	0	0	0	0	0	0	0	0	0
19	0	0	0	0	0	0	0	0	0
20	22.222	33.333	25.275	0	14.286	4.225	0	0	1.449
21	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0
25	0	0	0	0	0	0	0	0	0
26	0	0	0	0	0	0	0	0	0
27	30.38	30.38	18.824	0	0	0	0	0	0
28	0	0	0	0	0	0	0	0	0
29	0	0	0	0	0	0	0	0	0
30	0	0	0	0	0	0	0	0	0
31	0	0	0	0	0	0	0	0	0
32	96.667	96.667	90	0	0	0	0	0	0
33	0	0	0	0	0	0	0	0	0
34	0	0	0	0	0	0	0	0	0
35	93.443	95.082	86.885	0	25	0	0	0	0
36	0	0	0	0	0	0	0	0	0
37	0	0	0	0	0	0	0	0	0
38	0	0	0	0	0	0	0	0	0
39	0	0	0	0	0	0	0	0	0
40	0	0	0	0	0	0	0	0	0
41	0	0	0	0	0	0	0	0	0
42	0	0	0	0	0	0	0	0	0
43	16.667	95	53.333	0	94	44	0	0	0
44	0	0	0	0	0	0	0	0	0
45	0	0	0	0	0	0	0	0	0
46	0	0	0	0	0	0	0	0	0
47	0	0	0	0	0	0	0	0	0
48	0	0	96.491	0	0	96.491	0	0	96.491
49	0	0	0	0	0	0	0	0	0
50	0	0	0	0	0	0	0	0	0
