rev, All, STARTS, Ekstazi, HyRTS, Clover
rev_1, 39.156, 39.712, 30.978, 33.973, 53.832
rev_2, 33.081, 9.710, 8.342, 9.122, 21.876
rev_3, 36.642, 7.529, 8.276, 12.173, 20.934
rev_4, 32.297, 9.610, 9.649, 9.196, 21.662
rev_5, 32.392, 24.586, 21.532, 9.842, 21.721
rev_6, 32.068, 24.943, 20.977, 9.783, 22.161
rev_7, 32.257, 9.889, 11.643, 9.064, 22.048
rev_8, 34.727, 14.040, 9.761, 10.157, 21.871
rev_9, 32.510, 7.472, 8.082, 8.860, 21.299
rev_10, 32.014, 24.396, 20.824, 9.758, 22.042
rev_11, 31.791, 13.698, 13.368, 13.841, 25.916
rev_12, 33.387, 11.683, 8.362, 9.195, 21.502
rev_13, 31.893, 9.756, 9.726, 8.758, 21.353
rev_14, 32.293, 9.665, 9.312, 8.923, 20.879
rev_15, 32.241, 9.827, 9.717, 9.225, 22.025
rev_16, 31.819, 13.917, 8.302, 11.873, 21.214
rev_17, 32.432, 7.663, 9.748, 9.128, 21.845
rev_18, 32.294, 9.911, 8.348, 9.233, 21.417
rev_19, 31.946, 10.833, 8.303, 9.148, 21.208
rev_20, 35.639, 14.011, 8.324, 9.320, 21.871
rev_21, 31.875, 26.702, 9.882, 9.616, 22.261
rev_22, 33.744, 7.561, 8.361, 9.140, 21.157
rev_23, 31.950, 7.941, 8.433, 9.425, 21.431
rev_24, 32.686, 7.599, 8.397, 8.991, 21.290
rev_25, 31.979, 9.853, 9.823, 9.434, 21.180
rev_26, 32.069, 25.913, 9.906, 10.414, 22.108
rev_27, 32.230, 24.954, 9.807, 9.719, 21.660
rev_28, 31.799, 13.985, 9.804, 10.130, 22.452
rev_29, 31.629, fail, fail, fail, fail
rev_30, 31.926, 9.886, 8.341, 9.130, 21.711
rev_31, 32.099, 9.975, 8.293, 9.087, 21.197
rev_32, 32.286, 9.699, 8.374, 8.966, 21.691
rev_33, 33.292, 7.902, 8.784, 9.171, 21.602
rev_34, 32.465, 7.713, 8.302, 9.087, 22.086
rev_35, 31.788, 7.706, 8.479, 9.012, 21.326
rev_36, 32.411, 7.640, 8.415, 10.792, 21.541
rev_37, 32.099, 7.582, 8.233, 8.951, 20.868
rev_38, 32.341, 7.611, 8.251, 8.793, 22.255
rev_39, 32.028, 7.612, 8.278, 9.286, 21.628
rev_40, 32.147, 7.650, 8.398, 9.079, 21.577
rev_41, 34.005, 7.930, 8.367, 9.033, 21.601
rev_42, 32.529, 7.877, 8.338, 9.038, 21.130
rev_43, 32.589, 7.671, 8.334, 9.155, 21.475
rev_44, 32.068, 7.618, 8.339, 9.211, 21.661
rev_45, 31.712, 7.624, 8.333, 10.047, 21.477
rev_46, 33.390, 7.735, 8.489, 9.255, 21.393
rev_47, 36.210, 7.686, 8.257, 9.119, 21.751
rev_48, 32.269, 7.632, 8.284, 9.141, 21.301
rev_49, 33.057, 7.582, 8.186, 8.985, 23.627
rev_50, 34.391, 7.740, 8.406, 9.084, 21.745
