rev, All, STARTS, Ekstazi, HyRTS, Clover
rev_1, 14.708, 17.735, 9.733, 9.968, fail
rev_2, 12.550, 7.027, 7.550, 7.279, fail
rev_3, 9.566, 7.116, 7.802, 7.231, fail
rev_4, 8.945, 7.108, 7.763, 7.418, fail
rev_5, 8.521, 6.921, 8.031, 7.202, fail
rev_6, 8.637, 7.148, 7.711, 7.172, fail
rev_7, 11.110, 7.846, 8.382, 7.800, 11.550
rev_8, 9.864, 7.282, 8.016, 7.967, 10.552
rev_9, 9.582, 7.227, 8.149, 11.340, 10.865
rev_10, 9.598, 7.351, 11.392, 7.546, 10.790
rev_11, 8.993, 9.605, 8.571, 8.030, 12.598
rev_12, 9.077, 7.346, 8.116, 7.702, 11.157
rev_13, 9.375, 7.349, 8.021, 7.748, 11.675
rev_14, 8.903, 7.459, 8.275, 7.725, 10.750
rev_15, fail, fail, fail, fail, fail
rev_16, fail, fail, fail, fail, fail
rev_17, fail, fail, fail, fail, fail
rev_18, fail, fail, fail, fail, fail
rev_19, fail, fail, fail, fail, fail
rev_20, 14.072, 9.151, 8.160, 7.942, 11.396
rev_21, 9.102, 9.654, 8.362, 7.880, 11.521
rev_22, 10.056, 7.323, 8.173, 7.844, 11.534
rev_23, 9.623, 7.519, 8.155, 7.616, 12.072
rev_24, 9.224, 13.771, 8.441, 7.918, 12.205
rev_25, 9.329, 7.403, 7.879, 10.910, 11.454
rev_26, 9.248, 9.266, 8.299, 7.798, 11.353
rev_27, 9.006, 7.479, 7.921, 7.562, 14.400
rev_28, 9.248, 7.204, 7.952, 7.670, 11.434
rev_29, 8.880, 7.217, 8.355, 7.818, 10.984
rev_30, 9.106, 7.356, 7.982, 7.923, 10.813
rev_31, 9.382, 7.370, 8.056, 7.826, 11.112
rev_32, 10.145, 7.209, 8.137, 7.664, 11.141
rev_33, 12.503, 7.273, 8.216, 7.742, 10.500
rev_34, 13.561, 9.432, 8.351, 7.966, 11.068
rev_35, 10.335, 9.306, 8.329, 7.913, 11.726
rev_36, 9.502, 7.405, 8.169, 7.861, 11.173
rev_37, 9.359, 9.287, 11.573, 7.996, 11.468
rev_38, 9.503, 7.250, 8.115, 7.561, 11.235
rev_39, 9.301, 7.443, 8.062, 7.567, 11.277
rev_40, 9.365, 9.946, 8.396, 7.854, 12.029
rev_41, 9.260, fail, fail, fail, fail
rev_42, 9.396, 7.312, 8.217, 7.773, 11.743
rev_43, 9.011, 7.406, 8.083, 7.742, 11.320
rev_44, 9.176, 7.337, 8.335, 7.966, 11.688
rev_45, 8.961, 9.457, 8.398, 8.036, 12.104
rev_46, 13.628, 9.599, 8.203, 7.772, 11.605
rev_47, 9.249, 9.167, 8.160, 9.017, 12.164
rev_48, 9.343, fail, fail, fail, fail
rev_49, 9.049, fail, fail, fail, fail
rev_50, 9.317, 7.409, 8.202, 7.844, 12.498
