rev, All, STARTS, Ekstazi, HyRTS, Clover
rev_1, 37.163, 40.780, 34.909, 41.173, 723
rev_2, 35.884, 14.265, 14.238, 15.168, 60
rev_3, 35.702, 17.246, 16.300, 15.983, 256
rev_4, 43.131, 17.294, 16.231, 15.366, 732
rev_5, 36.671, 15.530, 14.081, 14.920, 616
rev_6, 42.348, 17.531, 16.650, 16.627, 
rev_7, 43.665, 14.305, 14.189, 14.758, 154
rev_8, 44.570, 17.556, 18.461, 15.471, 87
rev_9, 43.521, 14.330, 14.470, 14.573, 46.776
rev_10, 44.446, 17.561, 16.133, 16.141, 122
rev_11, 46.467, 14.378, 14.184, 13.852, 47.684
rev_12, 45.170, 18.405, 17.473, 16.488, 441
rev_13, 44.863, 14.805, 14.538, 14.930, 67
rev_14, 44.740, 17.619, 16.991, 16.050, 286
rev_15, 45.201, 14.484, 16.454, 14.566, 59.122
rev_16, 43.557, 19.265, 16.748, 14.815, 100
rev_17, 44.328, 14.808, 14.386, 14.878, 167
rev_18, 44.375, 18.057, 16.816, 18.702, 116
rev_19, 45.279, 14.854, 14.567, 14.221, 51.185
rev_20, 44.630, 17.724, 15.850, 15.720, 
rev_21, 43.779, 17.183, 15.531, 15.229, 180
rev_22, 45.817, 33.906, 32.886, 16.205, 321
rev_23, 45.288, 14.044, 14.434, 14.557, 58.467
rev_24, 44.401, 14.374, 14.407, 14.548, 50.274
rev_25, 44.753, 14.531, 14.609, 14.201, 49.944
rev_26, 44.376, 17.933, 17.099, 16.304, 260
rev_27, 43.423, 14.480, 13.975, 14.399, 74
rev_28, 45.067, 17.588, 16.478, 15.992, 94
rev_29, 44.094, 17.670, 16.871, 16.146, 362
rev_30, 45.455, 18.198, 16.113, 16.011, 658
rev_31, 45.175, 18.076, 18.722, 16.468, 180
rev_32, 48.132, 17.352, 16.358, 17.611, 333
rev_33, 44.129, 18.057, 17.258, 16.226, 
rev_34, 44.203, 14.374, 14.457, 15.060, 
rev_35, 44.075, 14.459, 14.688, 14.790, 56.008
rev_36, 44.403, 17.584, 16.643, 16.332, 264
rev_37, 39.647, 14.541, 15.250, 14.975, 79
rev_38, 35.146, 14.184, 14.547, 16.064, 326
rev_39, 34.695, 14.676, 14.904, 16.434, 276
rev_40, 36.272, 14.559, 14.464, 15.172, 205
rev_41, 34.286, 18.253, 17.286, 16.762, 395
rev_42, 35.591, 17.904, 16.450, 16.482, 317
rev_43, 35.135, 17.341, 16.646, 15.788, 119
rev_44, 34.673, 18.386, 16.203, 16.122, 296
rev_45, 35.194, 17.277, 16.491, 16.047, 
rev_46, 35.066, 14.491, 14.361, 15.586, 426
rev_47, 34.745, 14.913, 14.681, 15.283, 226
rev_48, 36.553, 34.663, 34.367, 32.824, 227
rev_49, 35.319, 14.315, 14.521, 18.641, 676
rev_50, 35.206, 14.868, 14.809, 20.259, 
