rev, All, STARTS, Ekstazi, HyRTS, Clover
rev_1, , , , 71, 77
rev_2, , 10.352, 9.835, 9.383, 14.844
rev_3, , 9.424, 10.244, 10.007, 15.576
rev_4, 67, 9.442, 10.295, 8.898, 15.609
rev_5, 67, 9.336, 10.324, 9.871, 17.789
rev_6, 67, 19.816, 20.197, 21.160, 30.481
rev_7, , 9.789, 11.104, 10.162, 15.786
rev_8, , 52.644, 52.836, 53.355, 60
rev_9, , 7.309, 8.550, 8.943, 14.930
rev_10, , 7.348, 8.376, 8.812, 32.113
rev_11, , 7.299, 9.396, 10.110, 14.155
rev_12, 67, 7.647, 9.256, 8.924, 14.984
rev_13, 67, 19.819, 19.796, 8.661, 29.808
rev_14, , 19.753, 20.201, 21.781, 29.609
rev_15, , 19.543, 19.821, 20.699, 30.287
rev_16, 71, 19.546, 20.129, 20.942, 29.951
rev_17, , 7.311, 9.998, 8.620, 14.958
rev_18, 67, 19.894, 19.830, 21.688, 29.173
rev_19, , 19.965, 19.780, 21.420, 29.370
rev_20, 70, 19.672, 19.769, 20.908, 30.739
rev_21, , 8.660, 8.497, 8.954, 14.873
rev_22, , 7.665, 8.277, 8.818, 19.628
rev_23, , 7.340, 8.288, 9.252, 19.728
rev_24, , 7.332, 8.171, 9.969, 16.405
rev_25, 67, 7.325, 8.123, 9.029, 14.515
rev_26, 67, 7.694, 8.230, 8.882, 29.766
rev_27, , 7.471, 8.249, 8.636, 75
rev_28, , 7.282, 8.608, 9.051, 14.903
rev_29, , 7.222, 8.343, 9.213, 14.481
rev_30, , 7.261, 8.240, 8.886, 14.542
rev_31, , 7.478, 8.208, 8.902, 30.671
rev_32, 67, 9.646, 9.541, 9.564, 16.349
rev_33, , 9.444, 9.229, 9.768, 16.011
rev_34, 67, 9.187, 9.530, 9.817, 18.932
rev_35, , 9.361, 9.275, 9.936, 16.283
rev_36, 67, 7.335, 8.238, 8.623, 16.341
rev_37, 67, 9.462, 9.189, 9.716, 15.794
rev_38, , 7.374, 8.199, 8.755, 14.718
rev_39, , 7.442, 12.354, 8.769, 15.583
rev_40, , 9.504, 9.646, 9.855, 15.436
rev_41, , 9.416, 8.300, 8.935, 15.491
rev_42, , 9.290, 9.069, 9.634, 15.330
rev_43, , 9.308, 9.213, 9.903, 15.151
rev_44, , 9.473, 10.614, 8.708, 16.148
rev_45, , 7.297, 8.165, 8.738, 15.869
rev_46, , 9.653, 8.153, 12.696, 15.689
rev_47, , 7.320, 8.209, 9.186, 15.604
rev_48, , 9.359, 10.381, 8.705, 15.894
rev_49, , 9.340, 10.344, 8.884, 15.794
rev_50, , 9.616, 8.201, 8.887, 15.957
